Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,8,1,14.6,2.4,4.5,0.528,0.0,0.3,0.0,2.4,4.3,0.559,0.528,1.3,1.6,0.769,1.3,3.3,4.5,0.6,0.5,0.4,1.3,1.5,6.0
SF,7,1,24.0,2.3,5.3,0.432,1.0,2.9,0.35,1.3,2.4,0.529,0.527,0.4,1.0,0.429,0.4,2.6,3.0,1.6,0.6,1.0,1.3,1.9,6.0
C,3,0,15.0,2.7,4.0,0.667,0.0,0.0,,2.7,4.0,0.667,0.667,0.7,1.0,0.667,1.0,2.3,3.3,0.7,0.0,2.0,0.3,2.7,6.0
PG,7,0,17.7,2.1,6.0,0.357,0.4,2.7,0.158,1.7,3.3,0.522,0.393,1.3,1.4,0.9,0.1,1.7,1.9,1.7,0.9,0.0,1.1,1.7,6.0
PG,4,0,28.3,2.8,7.0,0.393,0.3,3.5,0.071,2.5,3.5,0.714,0.411,0.3,0.5,0.5,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
C,3,0,12.7,2.0,3.7,0.545,0.7,2.0,0.333,1.3,1.7,0.8,0.636,1.3,1.3,1.0,0.3,3.0,3.3,1.7,0.3,0.3,0.7,2.7,6.0
PG,7,0,15.4,2.0,3.9,0.519,1.3,2.4,0.529,0.7,1.4,0.5,0.685,0.6,0.6,1.0,0.1,0.7,0.9,1.3,0.4,0.0,0.7,2.0,5.9
SF,7,0,10.1,2.3,4.9,0.471,1.3,3.3,0.391,1.0,1.6,0.636,0.603,0.0,0.3,0.0,0.0,1.0,1.0,0.4,0.1,0.3,0.1,0.7,5.9
PF,8,0,24.6,2.0,5.9,0.34,0.6,2.1,0.294,1.4,3.8,0.367,0.394,1.1,1.5,0.75,1.9,2.6,4.5,1.3,0.9,0.6,0.9,2.1,5.8
C,3,2,18.7,2.3,3.3,0.7,0.0,0.0,,2.3,3.3,0.7,0.7,1.0,1.3,0.75,3.7,3.3,7.0,1.3,0.3,1.0,1.0,3.0,5.7
PF,9,5,23.0,2.1,6.7,0.317,0.8,3.3,0.233,1.3,3.3,0.4,0.375,0.6,0.7,0.833,0.7,2.8,3.4,1.3,1.0,0.6,1.1,1.6,5.6
SF,6,0,8.0,2.2,3.2,0.684,0.3,0.8,0.4,1.8,2.3,0.786,0.737,0.8,1.3,0.625,0.7,1.8,2.5,1.0,0.5,0.2,1.0,1.0,5.5
C,2,0,15.0,2.0,4.5,0.444,0.5,0.5,1.0,1.5,4.0,0.375,0.5,1.0,1.0,1.0,1.0,3.0,4.0,3.5,0.5,0.5,1.5,2.0,5.5
SG,2,0,15.0,1.5,4.5,0.333,0.5,1.0,0.5,1.0,3.5,0.286,0.389,2.0,2.0,1.0,0.5,1.0,1.5,1.0,0.0,0.0,0.0,1.0,5.5
PF,6,0,14.3,2.2,5.7,0.382,1.0,3.7,0.273,1.2,2.0,0.583,0.471,0.2,0.2,1.0,0.2,2.0,2.2,0.3,0.5,0.3,0.2,1.3,5.5
SG,5,0,11.2,2.4,4.6,0.522,0.2,0.4,0.5,2.2,4.2,0.524,0.543,0.4,0.6,0.667,0.6,0.8,1.4,0.2,0.8,0.2,0.4,1.0,5.4
SG,8,8,19.4,1.9,4.1,0.455,1.1,3.3,0.346,0.8,0.9,0.857,0.591,0.5,0.6,0.8,0.3,0.9,1.1,0.8,1.0,0.6,0.6,1.0,5.4
SG,9,0,15.7,2.3,4.1,0.568,0.4,1.4,0.308,1.9,2.7,0.708,0.622,0.3,0.7,0.5,0.3,1.8,2.1,0.7,0.7,1.1,0.7,1.2,5.4
SF,7,0,21.6,2.0,5.1,0.389,0.9,3.1,0.273,1.1,2.0,0.571,0.472,0.4,0.6,0.75,0.6,1.6,2.1,1.9,0.4,0.3,0.9,1.0,5.3
SF,7,0,16.3,1.6,4.9,0.324,1.0,3.0,0.333,0.6,1.9,0.308,0.426,1.1,1.6,0.727,0.1,1.4,1.6,1.3,0.6,0.1,0.4,3.1,5.3
SF,3,0,12.0,2.0,6.0,0.333,0.7,2.7,0.25,1.3,3.3,0.4,0.389,0.7,1.0,0.667,0.3,1.7,2.0,1.3,0.0,0.3,1.7,0.7,5.3
PG,5,0,15.8,2.2,4.2,0.524,0.6,1.4,0.429,1.6,2.8,0.571,0.595,0.2,0.2,1.0,0.2,1.6,1.8,1.0,0.2,0.0,0.8,1.2,5.2
SG,7,0,15.7,1.7,4.7,0.364,0.6,2.1,0.267,1.1,2.6,0.444,0.424,1.1,1.4,0.8,0.1,1.6,1.7,1.3,1.0,0.1,1.1,1.3,5.1
PG,7,0,18.1,1.4,3.9,0.37,0.6,1.3,0.444,0.9,2.6,0.333,0.444,1.7,1.9,0.923,0.4,2.1,2.6,4.1,1.7,0.1,0.6,0.4,5.1
C,5,2,11.6,1.6,2.6,0.615,0.0,0.4,0.0,1.6,2.2,0.727,0.615,1.8,2.2,0.818,1.6,2.4,4.0,1.0,0.6,1.2,0.4,1.2,5.0
SG,7,0,11.7,1.9,4.0,0.464,1.0,2.0,0.5,0.9,2.0,0.429,0.589,0.3,0.3,1.0,0.6,0.9,1.4,0.9,0.3,0.1,0.4,0.4,5.0
SF,7,0,9.7,2.0,4.1,0.483,1.0,2.7,0.368,1.0,1.4,0.7,0.603,0.0,0.0,,0.7,1.3,2.0,0.4,0.0,0.3,1.0,0.6,5.0
C,7,2,24.1,2.0,5.7,0.35,0.7,3.1,0.227,1.3,2.6,0.5,0.413,0.3,0.3,1.0,2.3,3.9,6.1,2.1,0.7,0.7,1.4,1.4,5.0
SF,1,0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
SF,2,0,15.5,2.0,5.0,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1.0,0.5,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0
