Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PF,1,1,28.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.5,4.0,4.0,1.0,3.0,6.0,9.0,1.0,0.0,0.0,2.0,2.0,11.0
PG,9,0,19.6,4.3,7.8,0.557,1.9,3.8,0.5,2.4,4.0,0.611,0.679,0.3,0.3,1.0,0.2,2.6,2.8,2.7,1.0,0.1,0.8,1.8,10.9
C,7,7,25.6,4.6,7.3,0.627,0.0,0.0,,4.6,7.3,0.627,0.627,1.7,3.0,0.571,2.6,5.6,8.1,0.3,0.1,1.9,1.7,3.3,10.9
SF,9,9,25.7,4.2,10.6,0.4,0.3,2.2,0.15,3.9,8.3,0.467,0.416,2.0,3.6,0.563,1.8,1.8,3.6,0.7,0.1,0.4,1.2,2.0,10.8
C,7,7,24.7,4.4,7.9,0.564,0.0,0.0,,4.4,7.9,0.564,0.564,1.9,2.6,0.722,3.9,6.6,10.4,0.6,0.6,1.4,0.7,1.7,10.7
PG,7,7,28.7,4.1,8.0,0.518,2.1,4.6,0.469,2.0,3.4,0.583,0.652,0.3,0.3,1.0,0.6,2.6,3.1,4.3,1.0,0.1,0.1,1.9,10.7
C,9,2,18.9,3.8,6.7,0.567,0.1,0.4,0.25,3.7,6.2,0.589,0.575,2.9,3.2,0.897,1.3,3.4,4.8,1.3,0.0,0.6,1.1,1.9,10.6
C,7,7,26.3,3.9,9.1,0.422,2.0,5.1,0.389,1.9,4.0,0.464,0.531,0.9,1.0,0.857,1.6,3.1,4.7,0.9,0.7,2.0,1.1,2.3,10.6
SF,5,5,27.2,4.4,8.0,0.55,1.8,3.8,0.474,2.6,4.2,0.619,0.663,0.0,0.0,,0.8,2.0,2.8,1.8,0.4,0.8,1.4,3.6,10.6
C,8,8,27.0,3.5,8.8,0.4,0.6,2.9,0.217,2.9,5.9,0.489,0.436,2.9,3.9,0.742,2.9,6.5,9.4,4.8,1.5,1.0,2.1,3.5,10.5
SG,8,1,27.1,3.9,10.5,0.369,1.9,5.3,0.357,2.0,5.3,0.381,0.458,0.8,1.9,0.4,0.5,2.0,2.5,0.9,1.0,0.1,1.0,1.3,10.4
PG,7,7,27.6,3.7,8.4,0.441,2.3,5.6,0.41,1.4,2.9,0.5,0.576,0.6,1.3,0.444,0.1,2.7,2.9,5.1,0.3,0.0,1.4,1.3,10.3
PF,6,6,26.0,3.5,7.5,0.467,1.0,2.3,0.429,2.5,5.2,0.484,0.533,2.3,2.7,0.875,1.5,3.5,5.0,6.7,0.8,0.8,2.0,2.2,10.3
SF,8,1,23.8,3.1,7.0,0.446,2.5,5.9,0.426,0.6,1.1,0.556,0.625,1.5,1.5,1.0,0.3,1.9,2.1,1.4,0.3,0.1,1.5,2.3,10.3
SG,9,9,32.8,3.7,7.7,0.478,1.7,3.9,0.429,2.0,3.8,0.529,0.587,1.2,1.2,1.0,0.2,1.9,2.1,1.8,1.9,0.6,1.2,2.4,10.2
PG,9,9,30.2,3.8,9.7,0.391,1.1,3.4,0.323,2.7,6.2,0.429,0.448,1.3,1.7,0.8,0.4,2.7,3.1,4.8,1.3,0.6,0.9,2.8,10.0
PF,7,7,31.1,3.4,7.3,0.471,0.9,3.3,0.261,2.6,4.0,0.643,0.529,2.3,2.6,0.889,0.6,3.3,3.9,1.7,1.6,1.6,1.3,3.4,10.0
SG,7,7,25.6,3.6,9.9,0.362,1.0,4.0,0.25,2.6,5.9,0.439,0.413,1.9,2.0,0.929,1.4,3.9,5.3,3.1,1.7,0.7,1.9,2.9,10.0
SF,6,0,21.8,3.5,7.8,0.447,1.8,5.2,0.355,1.7,2.7,0.625,0.564,1.0,1.5,0.667,0.5,1.8,2.3,1.0,0.2,0.0,1.5,1.5,9.8
SF,5,5,18.6,3.6,7.8,0.462,1.0,3.2,0.313,2.6,4.6,0.565,0.526,1.6,2.0,0.8,0.6,3.4,4.0,3.4,0.8,0.0,1.4,1.2,9.8
C,8,8,25.3,4.5,6.8,0.667,0.0,0.0,,4.5,6.8,0.667,0.667,0.8,1.8,0.429,2.6,6.1,8.8,1.5,0.8,1.0,1.9,3.0,9.8
SG,9,8,24.0,4.0,10.3,0.387,1.1,3.6,0.313,2.9,6.8,0.426,0.441,0.6,0.8,0.714,0.6,2.7,3.2,5.6,1.0,0.6,2.4,2.1,9.7
PG,7,7,25.7,4.1,9.0,0.46,1.4,3.9,0.37,2.7,5.1,0.528,0.54,0.0,0.1,0.0,0.6,2.0,2.6,5.4,1.1,0.1,1.1,1.1,9.7
PF,6,6,29.5,3.5,8.2,0.429,1.8,4.7,0.393,1.7,3.5,0.476,0.541,0.8,1.0,0.833,0.2,1.5,1.7,1.2,0.5,0.5,0.5,2.7,9.7
PF,7,2,27.7,3.3,6.3,0.523,2.1,4.1,0.517,1.1,2.1,0.533,0.693,0.9,1.4,0.6,0.6,3.6,4.1,2.0,0.9,0.4,0.6,1.7,9.6
PG,9,2,23.0,3.8,8.8,0.43,1.4,4.0,0.361,2.3,4.8,0.488,0.513,0.6,1.0,0.556,0.1,1.4,1.6,3.8,1.0,0.3,1.1,1.4,9.6
PF,2,0,23.0,4.0,11.0,0.364,1.5,3.5,0.429,2.5,7.5,0.333,0.432,0.0,1.0,0.0,1.5,5.0,6.5,1.5,1.0,0.5,1.5,2.0,9.5
SG,8,0,19.9,2.9,7.4,0.39,2.4,6.0,0.396,0.5,1.4,0.364,0.551,1.4,1.8,0.786,0.1,2.0,2.1,1.3,0.6,0.0,0.9,1.5,9.5
SF,6,5,28.8,3.5,7.2,0.488,1.0,2.5,0.4,2.5,4.7,0.536,0.558,1.5,2.2,0.692,2.0,2.8,4.8,2.2,1.2,0.5,1.0,3.8,9.5
C,5,5,29.4,3.4,9.0,0.378,1.0,3.2,0.313,2.4,5.8,0.414,0.433,1.6,2.8,0.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
SF,8,0,20.1,3.6,6.9,0.527,1.8,3.9,0.452,1.9,3.0,0.625,0.655,0.4,0.6,0.6,0.3,1.9,2.1,1.6,0.5,0.3,0.8,1.3,9.4
PF,8,8,26.6,3.9,9.1,0.425,0.5,1.8,0.286,3.4,7.4,0.458,0.452,1.1,1.6,0.692,1.3,4.0,5.3,4.6,0.9,0.3,1.9,3.4,9.4
PF,8,8,22.4,3.8,7.0,0.536,0.5,2.3,0.222,3.3,4.8,0.684,0.571,1.3,1.4,0.909,1.1,2.5,3.6,0.5,1.1,0.3,0.5,1.5,9.3
SG,7,7,26.1,3.3,9.7,0.338,1.7,6.0,0.286,1.6,3.7,0.423,0.426,0.9,1.1,0.75,0.9,4.1,5.0,2.7,0.7,0.4,1.3,2.0,9.1
